Timestamp,Name,Ticker,Contract Address,Initial Buy In (SOL),Initial Buy In (USD),Initial Market Cap (SOL),Initial Market Cap (USD),Metadata URI,Creator Wallet
2025-11-26T15:16:32.952Z,GERMANCOIN,GMCN,2EZft3V5HzPVWGAFaVkUdMRpSzrX5PA3nwaFsF8Ppump,1058707.391261,211741478.25,28.014248,5602.85,https://ipfs.io/ipfs/bafkreie3575nwlthm72jn5tx77nwaxc3mnccc55gqrmfqm3txra3hqzrnq,
2025-11-26T15:16:33.714Z,Oomer index,Oomer6900,SGiw1ftfKwesKsYBDT4m1qjQMKzqt21tm6uuKDapump,66285714.223523,13257142844.70,31.762049,6352.41,https://ipfs.io/ipfs/bafkreihae76iv7n7ak5k6fpmxcucleioarynpfpize3dbjsf6bbtxb6ipu,
2025-11-26T15:16:42.122Z,dmitry,dmitry,J8dN5NRNZx5zfnhLjGdY7gfkURr93h4YLMuZAcWhogxP,268249999.999999,53650000000.00,49.704877,9940.98,http://93.205.10.67:4141/metadata/GVf3wAui,
2025-11-26T15:16:43.026Z,CultCoin,cult,BoRUGjwJ28mw77h6YsSudoNuFoJRNb4827KEkqaHpump,32541101.291559,6508220258.31,29.735217,5947.04,https://ipfs.io/ipfs/bafkreibaxfkxlh5dkyjfi47ku4yaqjx7a6hhac2g4kgpgoz36xw7iv3rma,
2025-11-26T15:16:47.623Z,Thanksgiving stuffer,stuffer,GTKUcy2ryszdViMsdVBnPboHDNUFyr1UECMbozXCpump,352781.592473,70556318.49,27.977387,5595.48,https://ipfs.io/ipfs/QmTYxM1JoMzoNnPfYjg6eWPsV38ySqcP1avsaBvRh527uY,
2025-11-26T15:16:48.323Z,MORI ACHIVE,MORI ACHVE,4F3QTM7Vc99sAPZNGbykBAe8TwnHMPm45xu9yhDSpump,353134.727201,70626945.44,27.977406,5595.48,https://ipfs.io/ipfs/bafkreihkzls7mqfcdvl3n3kb656bpt2zhtu2ytts5dfdmpbxiuk4fzeoke,
2025-11-26T15:16:51.720Z,s a GREAT,SAG,DBkq2hUdtJy4qehvahiqvLhQ57uDq85s7yedtNrnpump,97545454.545455,19509090909.09,33.830382,6766.08,https://metadata.rapidlaunch.io/metadata/51b27f54-d25f-407a-97bc-5bdbde11d586.json,
2025-11-26T15:16:51.788Z,meme king 2014,Navy898,9nYhpmKqUrjRrswjW2DSdNzQMizProyWvYAoMAk9pump,17376518.166910,3475303633.38,28.887030,5777.41,https://ipfs.io/ipfs/bafkreia5ikivumwal3mx2ktio5ln4mux7c7jnmzyejv4lpidn2citsvuti,
2025-11-26T15:17:04.236Z,Doomer Wojak ,DOOMER,BLkoHduoDce9GB6GTqgm8jNUp8ZX7vjtCeojVqyspump,353134.727201,70626945.44,27.977406,5595.48,https://ipfs.io/ipfs/bafkreidezr2o4sqsjwxkut6ijxxr7eekmvd5vqy2vudord3jyo6ytp6hwm,
2025-11-26T15:19:06.731Z,Warmface,Warmface,3yADMqvHnV9uTLjDQUMxgLuNeFzwxEAAfVhpZunVpump,97545454.545455,19509090909.09,33.830382,6766.08,https://metadata.rapidlaunch.io/metadata/fc57778b-926f-4191-88d0-36b717469529.json,
2025-11-26T15:19:07.968Z,ChanX,CHANX,9rZoXdMDUoZBPpiF4aRQE6AQipYnX4c1g8DTuyH6pump,3520918.746848,704183749.37,28.143389,5628.68,https://ipfs.io/ipfs/bafkreifxa62qddz7tfd6utzr674xiktpe6fzjrsehlotyh2d2ppadbkuiu,
2025-11-26T15:19:08.448Z,MORI QVS,MORI QVS,FA3qCGQ4GKitE5W3wA45NPuP6Vf11DGDn1V8WiXwpump,353134.727201,70626945.44,27.977406,5595.48,https://ipfs.io/ipfs/bafkreiew6z6xizow67rbsv4byvkmzwt2w5hmbknqvm3oseofnvfkzvscx4,
2025-11-26T20:28:29.789Z,sending vibes,VIBES,8qRE13pwxkh7xy7rTNM3mR4n7pzK6tUfBHBGE8Uipump,67062499.999999,13412500000.00,31.811121,6362.22,https://ipfs.io/ipfs/bafkreia73xmsky6siywu5wezp6mp3a3vnffboaqqbqfkz6vrfnf7zi3leu,
2025-11-26T20:28:32.098Z,Make Memes Great Again,MMGA,BCDUCm4icgy8QaSxAcfrpz1mR6wpHV2Bqh2GNG5Epump,67062499.999999,13412500000.00,31.811121,6362.22,https://ipfs.io/ipfs/bafkreierzwl2g3tie7dhdlngbzvhnpab6nnbndl3ms73tygby6xexoiz4e,
2025-11-26T20:28:33.356Z,This Coin is Free,Free,7j8yzk4hRSPEaBhbUADqeYuCf7Z5VVeq2RWZQJoBpump,91597560.975609,18319512195.12,33.421559,6684.31,https://ipfs.io/ipfs/bafkreibgoc27k72ycjrfczeviuh3wstrogsadf2bgkm4tyzaak3m6g4e6a,
2025-11-26T20:29:24.022Z,icon.,ICON,2RXqoQdALgjwQcbwXRZ167E3LT57gvWyRusKbo9Ypump,50494117.598940,10098823519.79,30.788558,6157.71,https://ipfs.io/ipfs/bafkreicm3vrgiis7mq377dznu7ataoaxgwnhhyoyyuggxct6mznyoytnpm,
2025-11-26T20:29:24.023Z,icon.,ICON,2RXqoQdALgjwQcbwXRZ167E3LT57gvWyRusKbo9Ypump,50494117.598940,10098823519.79,30.788558,6157.71,https://ipfs.io/ipfs/bafkreicm3vrgiis7mq377dznu7ataoaxgwnhhyoyyuggxct6mznyoytnpm,
2025-11-26T20:29:24.201Z,ROTATE 1764188961,ROTATE,4o7wBjRvsGkqcSfizHnB2ZHC4YSix9x31FL23bpCcSY8,10000000.000000,2000000000.00,28.487507,5697.50,https://ipfs.io/ipfs/QmeBhhro3oydbnMMVz94w4wcWCi41URxF8RZSPEkW2v8DH,
